product_id,product_name,category,brand,cost_price,selling_price,stock_quantity,reorder_level,supplier_name,is_active
1,Blue Ballpoint Pen,Writing,Pilot,350,500,120,30,Yangon Stationery Supply,true
2,Black Ballpoint Pen,Writing,Pilot,350,500,95,30,Yangon Stationery Supply,true
3,Red Ballpoint Pen,Writing,Pilot,350,500,40,25,Yangon Stationery Supply,true
4,Black Gel Pen,Writing,Zebra,700,1000,45,25,Mandalay Office Mart,true
5,Blue Gel Pen,Writing,Zebra,700,1000,24,25,Mandalay Office Mart,true
6,Red Gel Pen,Writing,Zebra,700,1000,18,20,Mandalay Office Mart,true
7,HB Pencil Pack,Writing,Faber Castell,1200,1800,20,20,Yangon School Supplies,true
8,2B Pencil Pack,Writing,Faber Castell,1300,1900,38,20,Yangon School Supplies,true
9,Mechanical Pencil,Writing,Uni,1800,2500,15,20,Mandalay Office Mart,true
10,Mechanical Pencil Lead,Writing,Uni,900,1500,32,15,Mandalay Office Mart,true
11,Whiteboard Marker Black,Writing,Pentel,1200,1800,28,15,Yangon Office Depot,true
12,Whiteboard Marker Blue,Writing,Pentel,1200,1800,14,15,Yangon Office Depot,true
13,Whiteboard Marker Red,Writing,Pentel,1200,1800,9,15,Yangon Office Depot,true
14,Permanent Marker Black,Writing,Artline,1400,2200,26,12,Yangon Stationery Supply,true
15,Permanent Marker Blue,Writing,Artline,1400,2200,11,12,Yangon Stationery Supply,true
16,Highlighter Yellow,Writing,Stabilo,1600,2500,55,20,Yangon School Supplies,true
17,Highlighter Green,Writing,Stabilo,1600,2500,18,20,Yangon School Supplies,true
18,Highlighter Pink,Writing,Stabilo,1600,2500,16,20,Yangon School Supplies,true
19,Fountain Pen,Writing,Hero,4500,7000,7,8,Mandalay Office Mart,true
20,Ink Bottle Blue,Writing,Hero,2500,3800,10,8,Mandalay Office Mart,true
21,A4 Copy Paper Pack,Paper,Double A,8500,10500,18,15,Yangon Paper World,true
22,A4 Copy Paper Carton,Paper,Double A,82000,98000,6,5,Yangon Paper World,true
23,A5 Notebook,Paper,Campus,900,1500,60,25,Yangon Stationery Supply,true
24,A4 Notebook,Paper,Campus,1400,2200,35,20,Yangon Stationery Supply,true
25,Exercise Book Small,Paper,Local Brand,500,900,90,40,Yangon School Supplies,true
26,Exercise Book Large,Paper,Local Brand,800,1300,42,30,Yangon School Supplies,true
27,Sticky Notes Yellow,Paper,Post-it,1800,2500,12,15,Yangon Office Depot,true
28,Sticky Notes Pink,Paper,Post-it,1800,2500,9,15,Yangon Office Depot,true
29,Graph Paper Pad,Paper,Local Brand,1000,1600,9,10,Mandalay Paper House,true
30,Drawing Paper Pad,Paper,Canson,3200,4800,13,10,Mandalay Paper House,true
31,Colored Paper Pack,Paper,Local Brand,2500,3800,21,15,Yangon Paper World,true
32,Photo Paper Pack,Paper,Epson,6500,9000,8,10,Yangon Paper World,true
33,Index Card Pack,Paper,Local Brand,1200,2000,30,15,Yangon School Supplies,true
34,Envelope Small Pack,Paper,Local Brand,900,1500,48,20,Yangon Paper World,true
35,Envelope Large Pack,Paper,Local Brand,1500,2400,17,20,Yangon Paper World,true
36,File Divider Paper,Paper,Deli,1800,2800,19,15,Mandalay Office Mart,true
37,Receipt Book,Paper,Local Brand,1000,1700,36,15,Yangon Stationery Supply,true
38,Carbon Paper Pack,Paper,Kores,2200,3500,10,12,Mandalay Paper House,true
39,Label Sticker Sheet,Paper,Avery,2800,4200,16,10,Yangon Office Depot,true
40,Brown Kraft Paper Roll,Paper,Local Brand,3500,5200,5,8,Mandalay Paper House,true
41,Stapler Small,Office Tools,Max,4500,6500,14,10,Yangon Office Depot,true
42,Stapler Large,Office Tools,Max,8500,12000,6,8,Yangon Office Depot,true
43,Staple Pins Box,Office Tools,Max,700,1200,35,20,Yangon Office Depot,true
44,Paper Clips Box,Office Tools,Local Brand,500,900,22,20,Mandalay Office Mart,true
